"","squad_no","country","pos","player","dob","age","caps","goals","club"
"306",7,"Italy","DF","Alia Guagni",1987-10-01,31,61,5,"Fiorentina"
"307",8,"Italy","MF","Alice Parisi",1990-12-11,28,45,5,"Fiorentina"
"308",9,"Italy","FW","Daniela Sabatino",1985-06-26,33,45,20,"Milan"
"309",10,"Italy","FW","Cristiana Girelli",1990-04-23,29,51,27,"Juventus"
"310",11,"Italy","MF","Barbara Bonansea",1991-06-13,27,48,17,"Juventus"
"311",12,"Italy","GK","Chiara Marchitelli",1985-05-04,34,40,0,"Florentia"
"312",13,"Italy","DF","Elisa Bartoli",1991-05-07,28,45,1,"Roma"
"313",14,"Italy","FW","Stefania Tarenzi ",1988-02-29,31,3,1,"ChievoVerona Valpo [it]"
"314",15,"Italy","MF","Annamaria Serturini ",1998-05-13,21,0,0,"Roma"
"315",16,"Italy","DF","Laura Fusetti",1990-10-08,28,0,0,"Milan"
"316",17,"Italy","DF","Lisa Boattin",1997-05-03,22,10,0,"Juventus"
"317",18,"Italy","FW","Ilaria Mauro",1988-05-22,31,24,8,"Fiorentina"
"318",19,"Italy","FW","Valentina Giacinti",1994-01-02,25,19,3,"Milan"
"319",20,"Italy","DF","Linda Tucceri",1991-04-04,28,8,1,"Milan"
"320",21,"Italy","MF","Valentina Cernoia",1991-06-22,27,30,6,"Juventus"
"321",22,"Italy","GK","Rosalia Pipitone ",1985-08-03,33,3,0,"Roma"
"322",23,"Italy","MF","Manuela Giugliano",1997-08-18,21,20,3,"Milan"
"323",1,"Brazil","GK","Bárbara",1988-07-04,30,41,0,"Kindermann"
"324",2,"Brazil","DF","Fabiana",1989-08-04,29,59,6,"Internacional"
"325",3,"Brazil","DF","Érika",1988-02-04,31,65,13,"Corinthians"
"326",4,"Brazil","DF","Tayla",1992-05-09,27,31,1,"Benfica"
"327",5,"Brazil","MF","Thaisa",1988-12-17,30,64,4,"Milan"
"328",6,"Brazil","DF","Tamires",1987-10-10,31,43,3,"Fortuna Hjørring"
"329",7,"Brazil","FW","Andressa Alves",1992-11-10,26,39,10,"Barcelona"
"330",8,"Brazil","MF","Formiga",1978-03-03,41,160,23,"Paris Saint-Germain"
"331",9,"Brazil","FW","Debinha",1991-10-20,27,45,14,"North Carolina Courage"
"332",10,"Brazil","FW","Marta",1986-02-19,33,133,110,"Orlando Pride"
"333",11,"Brazil","FW","Cristiane",1985-05-15,34,117,83,"São Paulo"
"334",12,"Brazil","GK","Aline Villares",1989-04-15,30,9,0,"Granadilla"
"335",13,"Brazil","DF","Letícia Santos",1994-12-02,24,19,0,"SC Sand"
"336",14,"Brazil","DF","Kathellen",1996-04-26,23,4,0,"Bordeaux"
"337",15,"Brazil","DF","Camila Martins",1994-10-10,24,18,2,"Orlando Pride"
"338",16,"Brazil","FW","Beatriz",1993-12-17,25,38,17,"Incheon Hyundai Steel Red Angels"
"339",17,"Brazil","MF","Andressinha",1995-05-01,24,43,10,"Portland Thorns"
"340",18,"Brazil","MF","Luana",1993-05-02,26,6,0,"Hwacheon KSPO"
"341",19,"Brazil","FW","Ludmila",1994-12-11,24,13,1,"Atlético Madrid"
"342",20,"Brazil","FW","Raquel",1991-03-21,28,40,3,"Sporting Huelva"
"343",21,"Brazil","DF","Mônica",1987-04-21,32,42,6,"Corinthians"
"344",22,"Brazil","GK","Letícia Izidoro",1994-08-13,24,3,0,"Corinthians"
"345",23,"Brazil","FW","Geyse",1994-05-21,25,7,0,"Benfica"
"346",1,"Australia","GK","Lydia Williams",1988-05-13,31,77,0,"Reign FC"
"347",2,"Australia","DF","Gema Simon",1990-07-19,28,11,0,"Newcastle Jets"
"348",3,"Australia","MF","Aivi Luik",1985-03-18,34,21,0,"Levante"
"349",4,"Australia","DF","Clare Polkinghorne",1989-02-01,30,116,9,"Houston Dash"
"350",5,"Australia","DF","Laura Alleway",1989-11-28,29,60,2,"Melbourne Victory"
"351",6,"Australia","MF","Chloe Logarzo",1994-12-22,24,37,6,"Washington Spirit"
"352",7,"Australia","DF","Steph Catley",1994-01-26,25,71,2,"Reign FC"
"353",8,"Australia","MF","Elise Kellond-Knight",1990-08-10,28,106,1,"Reign FC"
"354",9,"Australia","FW","Caitlin Foord",1994-11-11,24,71,16,"Portland Thorns"
"355",10,"Australia","MF","Emily van Egmond",1993-07-12,25,85,18,"Orlando Pride"
"356",11,"Australia","FW","Lisa De Vanna",1984-11-14,34,147,47,"Sydney FC"
"357",12,"Australia","GK","Teagan Micah",1997-10-20,21,0,0,"UCLA Bruins"
"358",13,"Australia","MF","Tameka Yallop",1991-06-16,27,78,10,"Klepp"
"359",14,"Australia","DF","Alanna Kennedy",1995-01-21,24,77,7,"Orlando Pride"
"360",15,"Australia","FW","Emily Gielnik",1992-05-13,27,28,7,"Melbourne Victory"
"361",16,"Australia","FW","Hayley Raso",1994-09-05,24,34,3,"Portland Thorns"
"362",17,"Australia","FW","Mary Fowler",2003-02-14,16,4,0,"Bankstown City"
"363",18,"Australia","GK","Mackenzie Arnold",1994-02-25,25,23,0,"Brisbane Roar"
"364",19,"Australia","MF","Katrina Gorry",1992-08-13,26,73,14,"Brisbane Roar"
"365",20,"Australia","FW","Sam Kerr",1993-09-10,25,76,31,"Chicago Red Stars"
"366",21,"Australia","DF","Ellie Carpenter",2000-04-28,19,31,1,"Portland Thorns"
"367",22,"Australia","MF","Amy Harrison",1996-04-21,23,10,0,"Washington Spirit"
"368",23,"Australia","DF","Teigen Allen",1994-02-12,25,40,0,"Melbourne Victory"
"369",1,"Spain","GK","Dolores Gallardo",1993-06-10,25,29,0,"Atlético Madrid"
"370",2,"Spain","DF","Celia Jiménez",1995-06-20,23,22,0,"Reign FC"
"371",3,"Spain","DF","Leila Ouahabi",1993-03-22,26,26,1,"Barcelona"
"372",4,"Spain","DF","Irene Paredes",1991-07-04,27,61,8,"Paris Saint-Germain"
"373",5,"Spain","DF","Ivana Andrés",1994-07-13,24,21,0,"Levante"
"374",6,"Spain","MF","Vicky Losada",1991-03-05,28,61,13,"Barcelona"
"375",7,"Spain","MF","Marta Corredera",1991-08-08,27,66,5,"Levante"
"376",8,"Spain","DF","Marta Torrejón",1990-02-27,29,85,9,"Barcelona"
"377",9,"Spain","FW","Mariona Caldentey",1996-03-19,23,20,2,"Barcelona"
"378",10,"Spain","FW","Jennifer Hermoso",1990-05-09,29,66,27,"Atlético Madrid"
"379",11,"Spain","MF","Alexia Putellas",1994-02-04,25,65,13,"Barcelona"
"380",12,"Spain","MF","Patricia Guijarro",1998-05-17,21,16,3,"Barcelona"
"381",13,"Spain","GK","Sandra Paños",1992-11-04,26,28,0,"Barcelona"
"382",14,"Spain","MF","Virginia Torrecilla",1994-09-04,24,53,6,"Montpellier"
"383",15,"Spain","MF","Silvia Meseguer",1989-03-12,30,64,5,"Atlético Madrid"
"384",16,"Spain","DF","María Pilar León",1995-06-13,23,23,0,"Barcelona"
"385",17,"Spain","FW","Lucía García",1998-07-14,20,13,0,"Athletic Bilbao"
"386",18,"Spain","MF","Aitana Bonmatí",1998-01-18,21,12,1,"Barcelona"
"387",19,"Spain","MF","Amanda Sampedro",1993-06-26,25,45,11,"Atlético Madrid"
"388",20,"Spain","DF","Andrea Pereira",1993-09-19,25,26,0,"Barcelona"
"389",21,"Spain","MF","Andrea Falcón",1997-02-28,22,7,1,"Atlético Madrid"
"390",22,"Spain","FW","Nahikari García",1997-03-10,22,7,1,"Real Sociedad"
"391",23,"Spain","GK","María Asunción Quiñones",1996-10-29,22,3,0,"Real Sociedad"
"392",1,"South Africa","GK","Mapaseka Mpuru",1998-04-09,21,0,0,"University of Pretoria"
"393",2,"South Africa","DF","Lebogang Ramalepe",1991-12-03,27,62,1,"MaIndies"
"394",3,"South Africa","DF","Nothando Vilakazi",1988-10-28,30,129,6,"Gintra Universitetas"
"395",4,"South Africa","DF","Noko Matlou",1985-09-30,33,152,61,"MaIndies"
"396",5,"South Africa","DF","Janine van Wyk",1987-04-17,32,166,11,"JVW"
"397",6,"South Africa","MF","Mamello Makhabane",1988-02-24,31,96,18,"JVW"
"398",7,"South Africa","MF","Karabo Dhlamini",2001-09-18,17,5,0,"Mamelodi Sundowns"
"399",8,"South Africa","FW","Ode Fulutudilu",1990-02-06,29,11,1,"Málaga"
"400",9,"South Africa","FW","Amanda Mthandi",1996-05-23,23,9,1,"University of Johannesburg"
"401",10,"South Africa","MF","Linda Motlhalo",1998-07-01,20,42,9,"Beijing Phoenix"
"402",11,"South Africa","FW","Thembi Kgatlana",1996-05-02,23,52,7,"Beijing Phoenix"
"403",12,"South Africa","FW","Jermaine Seoposenwe",1993-10-12,25,74,6,"Gintra Universitetas"
"404",13,"South Africa","DF","Bambanani Mbane",1990-03-12,29,43,0,"Bloemfontein Celtic"
"405",14,"South Africa","DF","Tiisetso Makhubela",1997-04-24,22,2,0,"Mamelodi Sundowns"
"406",15,"South Africa","MF","Refiloe Jane",1992-08-04,26,104,12,"Unattached"
"407",16,"South Africa","GK","Andile Dlamini",1992-09-02,26,37,0,"Mamelodi Sundowns"
"408",17,"South Africa","MF","Leandra Smeda",1989-07-22,29,95,10,"Vittsjö"
"409",18,"South Africa","DF","Bongeka Gamede",1999-05-22,20,0,0,"University of the Western Cape"
"410",19,"South Africa","MF","Kholosa Biyana",1994-04-16,25,17,0,"University of KwaZulu-Natal"
"411",20,"South Africa","GK","Kaylin Swart",1994-09-30,24,18,0,"Golden Stars"
"412",21,"South Africa","MF","Busisiwe Ndimeni",1991-06-25,27,26,0,"Tshwane University of Technology"
"413",22,"South Africa","FW","Rhoda Mulaudzi",1989-12-02,29,22,0,"Unattached"
"414",23,"South Africa","MF","Sibulele Holweni",2001-04-28,18,1,0,"Sophakama Ladies/HPC"
"415",1,"Germany","GK","Almuth Schult",1991-02-09,28,58,0,"VfL Wolfsburg"
"416",2,"Germany","DF","Carolin Simon",1992-11-24,26,15,2,"Lyon"
"417",3,"Germany","DF","Kathrin Hendrich",1992-04-06,27,29,4,"Bayern Munich"
"418",4,"Germany","DF","Leonie Maier",1992-09-29,26,69,10,"Bayern Munich"
"419",5,"Germany","DF","Marina Hegering ",1990-04-17,29,2,0,"SGS Essen"
"420",6,"Germany","MF","Lena Oberdorf ",2001-12-19,17,2,0,"SGS Essen"
"421",7,"Germany","MF","Lea Schüller",1997-11-12,21,12,8,"SGS Essen"
"422",8,"Germany","MF","Lena Goeßling",1986-03-08,33,104,8,"VfL Wolfsburg"
"423",9,"Germany","MF","Svenja Huth",1991-01-25,28,43,7,"Turbine Potsdam"
"424",10,"Germany","MF","Dzsenifer Marozsán",1992-04-18,27,89,32,"Lyon"
"425",11,"Germany","MF","Alexandra Popp",1991-04-06,28,95,45,"VfL Wolfsburg"
"426",12,"Germany","GK","Laura Benkarth",1992-10-14,26,8,0,"Bayern Munich"
"427",13,"Germany","MF","Sara Däbritz",1995-02-15,24,59,10,"Bayern Munich"
"428",14,"Germany","DF","Johanna Elsig",1992-11-01,26,12,0,"Turbine Potsdam"
"429",15,"Germany","DF","Giulia Gwinn",1999-07-02,19,7,1,"SC Freiburg"
"430",16,"Germany","MF","Linda Dallmann",1994-09-02,24,20,5,"SGS Essen"
"431",17,"Germany","MF","Verena Schweers",1989-05-22,30,44,3,"Bayern Munich"
"432",18,"Germany","FW","Melanie Leupolz",1994-04-14,25,57,8,"Bayern Munich"
"433",19,"Germany","FW","Klara Bühl ",2000-12-07,18,1,0,"SC Freiburg"
"434",20,"Germany","FW","Lina Magull",1994-08-15,24,30,7,"Bayern Munich"
"435",21,"Germany","GK","Merle Frohms",1995-01-28,24,4,0,"SC Freiburg"
"436",22,"Germany","FW","Turid Knaak",1991-01-24,28,7,1,"SGS Essen"
"437",23,"Germany","DF","Sara Doorsoun",1991-11-17,27,24,0,"VfL Wolfsburg"
"438",1,"China PR","GK","Xu Huan",1999-03-06,20,NA,NA,"Beijing Phoenix"
"439",2,"China PR","DF","Liu Shanshan",1992-03-16,27,58,0,"Beijing Phoenix"
"440",3,"China PR","DF","Lin Yuping",1992-02-28,27,NA,NA,"Wuhan Jianghan University [zh]"
"441",4,"China PR","MF","Lou Jiahui",1991-05-26,28,31,0,"Henan Huishang"
"442",5,"China PR","DF","Wu Haiyan",1993-02-26,26,69,0,"Wuhan Jianghan University [zh]"
"443",6,"China PR","DF","Han Peng",1989-12-20,29,86,3,"Guangdong Huijun"
"444",7,"China PR","MF","Wang Shuang",1995-01-23,24,93,25,"Paris Saint-Germain"
"445",8,"China PR","DF","Li Jiayue",1990-06-08,28,45,1,"Shanghai [zh]"
"446",9,"China PR","FW","Yang Li",1991-01-31,28,42,23,"Jiangsu Suning [zh]"
"447",10,"China PR","FW","Li Ying",1993-01-07,26,92,24,"Guangdong Huijun"
"448",11,"China PR","FW","Wang Shanshan",1990-01-27,29,77,10,"Dalian Quanjian"
"449",12,"China PR","GK","Peng Shimeng",1998-05-12,21,3,0,"Jiangsu Suning [zh]"
"450",13,"China PR","MF","Wang Yan",1991-08-22,27,NA,NA,"Beijing Phoenix"
"451",14,"China PR","DF","Wang Ying",1997-11-18,21,NA,NA,"Wuhan Jianghan University [zh]"
"452",15,"China PR","FW","Song Duan",1995-08-02,23,12,4,"Dalian Quanjian"
"453",16,"China PR","MF","Li Wen",1989-02-21,30,NA,NA,"Dalian Quanjian"
"454",17,"China PR","MF","Gu Yasha",1990-11-28,28,123,11,"Beijing Phoenix"
"455",18,"China PR","GK","Bi Xiaolin",1989-09-18,29,NA,NA,"Dalian Quanjian"
"456",19,"China PR","MF","Tan Ruyin",1994-07-17,24,45,1,"Guangdong Huijun"
"457",20,"China PR","MF","Zhang Rui",1989-01-17,30,99,17,"Changchun Zhuoyue [zh]"
"458",21,"China PR","MF","Yao Wei",1997-09-01,21,NA,NA,"Wuhan Jianghan University [zh]"
"459",22,"China PR","DF","Luo Guiping",1993-04-20,26,NA,NA,"Guangdong Huijun"
"460",23,"China PR","MF","Liu Yanqiu",1995-12-31,23,NA,NA,"Wuhan Jianghan University [zh]"
"461",1,"South Korea","GK","Kang Ga-ae",1990-12-10,28,13,0,"Gumi Sportstoto"
"462",2,"South Korea","DF","Lee Eun-mi",1988-08-18,30,87,14,"Suwon UDC"
"463",3,"South Korea","DF","Jeong Yeong-a",1990-12-09,28,12,0,"Gyeongju KHNP"
"464",4,"South Korea","DF","Hwang Bo-ram",1987-10-06,31,42,0,"Hwacheon KSPO"
"465",5,"South Korea","DF","Kim Do-yeon",1988-12-07,30,79,1,"Incheon Hyundai Steel Red Angels"
"466",6,"South Korea","DF","Lim Seon-joo",1990-11-27,28,76,5,"Incheon Hyundai Steel Red Angels"
"467",7,"South Korea","MF","Lee Min-a",1991-11-08,27,56,14,"INAC Kobe Leonessa"
"468",8,"South Korea","MF","Cho So-hyun",1988-06-24,30,120,20,"West Ham United"
"469",9,"South Korea","MF","Moon Mi-ra",1992-02-28,27,22,11,"Suwon UDC"
"470",10,"South Korea","FW","Ji So-yun",1991-02-21,28,115,54,"Chelsea"
"471",11,"South Korea","FW","Jung Seol-bin",1990-01-06,29,74,21,"Incheon Hyundai Steel Red Angels"
"472",12,"South Korea","MF","Kang Yu-mi",1991-10-05,27,25,8,"Hwacheon KSPO"
"473",13,"South Korea","FW","Yeo Min-ji",1993-04-27,26,34,12,"Suwon UDC"
"474",14,"South Korea","DF","Shin Dam-yeong",1993-10-02,25,37,1,"Incheon Hyundai Steel Red Angels"
"475",15,"South Korea","MF","Lee Young-ju",1992-04-22,27,28,2,"Incheon Hyundai Steel Red Angels"
"476",16,"South Korea","DF","Jang Sel-gi",1994-05-31,25,54,11,"Incheon Hyundai Steel Red Angels"
"477",17,"South Korea","FW","Lee Geum-min",1994-04-07,25,50,16,"Gyeongju KHNP"
"478",18,"South Korea","GK","Kim Min-Jeong",1996-09-12,22,2,0,"Incheon Hyundai Steel Red Angels"
"479",19,"South Korea","MF","Lee So-dam",1994-10-12,24,49,5,"Incheon Hyundai Steel Red Angels"
"480",20,"South Korea","DF","Kim Hye-ri",1990-06-25,28,80,1,"Incheon Hyundai Steel Red Angels"
"481",21,"South Korea","GK","Jung Bo-ram",1991-07-22,27,3,0,"Hwacheon KSPO"
"482",22,"South Korea","FW","Son Hwa-yeon",1997-03-15,22,20,7,"Changnyeong"
"483",23,"South Korea","MF","Kang Chae-rim",1998-03-23,21,1,0,"Incheon Hyundai Steel Red Angels"
"484",1,"Norway","GK","Ingrid Hjelmseth",1980-04-10,39,131,0,"Stabæk"
"485",2,"Norway","DF","Ingrid Wold",1990-01-29,29,59,3,"LSK Kvinner"
"486",3,"Norway","DF","Maria Thorisdottir",1993-06-05,26,32,1,"Chelsea"
"487",4,"Norway","DF","Stine Hovland",1991-01-31,28,6,0,"Sandviken"
"488",5,"Norway","MF","Synne Skinnes Hansen",1995-08-12,23,14,0,"LSK Kvinner"
"489",6,"Norway","DF","Maren Mjelde",1989-11-06,29,135,19,"Chelsea"
"490",7,"Norway","FW","Elise Thorsnes",1988-08-14,30,115,19,"LSK Kvinner"
"491",8,"Norway","MF","Vilde Bøe Risa",1995-07-13,23,18,1,"Kopparbergs/Göteborg"
"492",9,"Norway","FW","Isabell Herlovsen",1988-06-23,30,125,57,"Kolbotn"
"493",10,"Norway","MF","Caroline Hansen",1995-02-18,24,71,25,"VfL Wolfsburg"
"494",11,"Norway","FW","Lisa-Marie Utland",1992-09-19,26,40,12,"Rosengård"
"495",12,"Norway","GK","Cecilie Fiskerstrand",1996-03-20,23,21,0,"LSK Kvinner"
"496",13,"Norway","FW","Therese Åsland ",1995-08-26,23,5,1,"LSK Kvinner"
"497",14,"Norway","MF","Ingrid Engen",1998-04-29,21,15,2,"LSK Kvinner"
"498",15,"Norway","FW","Amalie Eikeland",1995-08-26,23,6,0,"Sandviken"
"499",16,"Norway","MF","Guro Reiten",1994-07-26,24,36,5,"LSK Kvinner"
"500",17,"Norway","MF","Kristine Minde",1992-08-08,26,96,9,"VfL Wolfsburg"
"501",18,"Norway","MF","Frida Maanum",1999-07-16,19,19,0,"Linköping"
"502",19,"Norway","DF","Cecilie Kvamme ",1995-11-09,23,3,0,"Sandviken"
"503",20,"Norway","FW","Emilie Haavi",1992-06-16,26,81,16,"LSK Kvinner"
"504",21,"Norway","MF","Karina Sævik",1996-03-24,23,3,1,"Kolbotn"
"505",22,"Norway","FW","Emilie Nautnes",1999-01-13,20,5,0,"Arna-Bjørnar"
"506",23,"Norway","GK","Oda Bogstad",1996-04-24,23,0,0,"Arna-Bjørnar"
"507",1,"Nigeria","GK","Tochukwu Oluehi",1987-05-02,32,NA,NA,"Rivers Angels"
"508",2,"Nigeria","MF","Amarachi Okoronkwo",1992-12-12,26,NA,NA,"Nasarawa Amazons"
"509",3,"Nigeria","DF","Osinachi Ohale",1991-12-21,27,26,1,"Växjö"
"510",4,"Nigeria","DF","Ngozi Ebere",1991-08-05,27,20,1,"Arna-Bjørnar"
"511",5,"Nigeria","DF","Onome Ebi",1983-05-08,36,81,0,"Henan Huishang"
"512",6,"Nigeria","MF","Evelyn Nwabuoku",1985-11-14,33,42,3,"Rivers Angels"
"513",7,"Nigeria","FW","Anam Imo",2000-11-30,18,NA,NA,"Rosengård"
"514",8,"Nigeria","FW","Asisat Oshoala",1994-10-09,24,17,11,"Barcelona"
"515",9,"Nigeria","FW","Desire Oparanozie",1993-12-17,25,35,22,"Guingamp"
"516",10,"Nigeria","MF","Rita Chikwelu",1988-03-06,31,33,15,"Kristianstads"
"517",11,"Nigeria","FW","Chinaza Uchendu",1997-12-03,21,NA,NA,"Braga"
"518",12,"Nigeria","FW","Uchenna Kanu",1997-06-27,21,1,0,"Southeastern Fire"
"519",13,"Nigeria","MF","Ngozi Okobi-Okeoghene",1993-12-14,25,27,4,"Eskilstuna United"
"520",14,"Nigeria","DF","Faith Michael",1987-02-28,32,53,0,"Piteå"
"521",15,"Nigeria","FW","Rasheedat Ajibade",1999-12-08,19,NA,NA,"Avaldsnes"
"522",16,"Nigeria","GK","Chiamaka Nnadozie",2000-12-08,18,NA,NA,"Rivers Angels"
"523",17,"Nigeria","FW","Francisca Ordega",1993-10-19,25,26,7,"Shanghai [zh]"
"524",18,"Nigeria","MF","Halimatu Ayinde",1995-05-16,24,12,0,"Eskilstuna United"
"525",19,"Nigeria","FW","Chinwendu Ihezuo",1997-04-30,22,NA,NA,"Henan Huishang"
"526",20,"Nigeria","DF","Chidinma Okeke",2000-08-11,18,NA,NA,"Robo Queens"
"527",21,"Nigeria","GK","Alaba Jonathan",1992-06-01,27,NA,NA,"Bayelsa Queens"
"528",22,"Nigeria","FW","Alice Ogebe",1995-03-30,24,7,0,"Rivers Angels"
"529",23,"Nigeria","MF","Ogonna Chukwudi",1988-09-14,30,20,3,"Djurgården"
"530",1,"France","GK","Solène Durand ",1994-11-20,24,0,0,"Guingamp"
"531",2,"France","DF","Ève Périsset",1994-12-24,24,13,0,"Paris Saint-Germain"
"532",3,"France","DF","Wendie Renard",1990-07-20,28,108,20,"Lyon"
"533",4,"France","DF","Marion Torrent",1992-04-17,27,20,0,"Montpellier"
"534",5,"France","DF","Aïssatou Tounkara",1995-03-16,24,11,0,"Atlético Madrid"
"535",6,"France","MF","Amandine Henry",1989-09-28,29,83,11,"Lyon"
"536",7,"France","DF","Sakina Karchaoui",1996-01-26,23,23,0,"Montpellier"
"537",8,"France","MF","Grace Geyoro",1997-07-02,21,20,1,"Paris Saint-Germain"
"538",9,"France","FW","Eugénie Le Sommer",1989-05-18,30,159,73,"Lyon"
"539",10,"France","DF","Amel Majri",1993-01-25,26,46,4,"Lyon"
"540",11,"France","FW","Kadidiatou Diani",1995-04-01,24,45,4,"Paris Saint-Germain"
"541",12,"France","FW","Emelyne Laurent",1998-11-04,20,3,0,"Guingamp"
"542",13,"France","FW","Valérie Gauvin",1996-06-01,23,17,9,"Montpellier"
"543",14,"France","MF","Charlotte Bilbault",1990-06-05,29,14,0,"Paris FC"
"544",15,"France","MF","Élise Bussaglia",1985-09-24,33,186,29,"Dijon"
"545",16,"France","GK","Sarah Bouhaddi",1986-10-17,32,139,0,"Lyon"
"546",17,"France","MF","Gaëtane Thiney",1985-10-28,33,154,58,"Paris FC"
"547",18,"France","FW","Viviane Asseyi",1993-11-20,25,30,4,"Bordeaux"
"548",19,"France","DF","Griedge Mbock Bathy",1995-02-26,24,49,4,"Lyon"
"549",20,"France","FW","Delphine Cascarino",1997-02-05,22,11,1,"Lyon"
"550",21,"France","GK","Pauline Peyraud-Magnin",1992-03-17,27,1,0,"Arsenal"
"551",22,"France","DF","Julie Debever ",1988-04-18,31,2,0,"Guingamp"
"552",23,"France","MF","Maéva Clémaron ",1992-11-10,26,3,0,"Fleury"
